description;code;price;category;id
woxy-desc;PRD-VLS;449.69;F;590
eyra-desc;PRD-XPZ;594.21;I;591
feko-desc;PRD-ZVT;740.93;I;592
ljiv-desc;PRD-OSR;1068.39;D;593
suay-desc;PRD-SUE;994.07;B;594
nnfw-desc;PRD-OMX;704.11;T;595
ieah-desc;PRD-ZHL;999.53;O;596
efrl-desc;PRD-CCQ;977.34;Q;597
hwbe-desc;PRD-MRJ;941.38;E;598
nldx-desc;PRD-ZIR;899.08;C;599
pojv-desc;PRD-RAE;654.67;A;600
fksw-desc;PRD-GSD;575.88;G;601
knlw-desc;PRD-TRM;282.19;O;602
jalz-desc;PRD-AIG;360.81;F;603
vzrf-desc;PRD-JCZ;563.18;P;604
opvs-desc;PRD-HQT;592.12;Q;605
fiyo-desc;PRD-MZG;590.08;P;606
iwet-desc;PRD-QME;725.06;S;607
dikk-desc;PRD-KGQ;387.16;U;608
yrpa-desc;PRD-RBP;466.67;Y;609
hqot-desc;PRD-EYD;544.80;V;610
dcot-desc;PRD-IAF;246.24;D;611
rpwh-desc;PRD-WHK;846.08;A;612
klro-desc;PRD-WQD;558.82;R;613
fmbq-desc;PRD-JCI;1075.91;O;614
zlay-desc;PRD-PHF;860.01;E;615
tgny-desc;PRD-TIW;250.91;F;616
hiod-desc;PRD-BND;362.08;H;617
ftiy-desc;PRD-YVU;358.58;J;618
ofdd-desc;PRD-ZEK;269.15;B;619
sdnc-desc;PRD-TMB;372.42;B;620
czvp-desc;PRD-DKB;319.44;E;621
wttb-desc;PRD-ZEN;1104.23;B;622
pwmf-desc;PRD-YDU;491.04;W;623
kusw-desc;PRD-ALN;173.12;W;624
tkqm-desc;PRD-OOK;1032.79;T;625
qhmv-desc;PRD-WQP;582.71;U;626
ogzo-desc;PRD-GWJ;650.07;Z;627
wvll-desc;PRD-WLR;691.28;C;628
ewlv-desc;PRD-ZKR;396.41;D;629
nftb-desc;PRD-QNI;586.53;D;630
yeei-desc;PRD-FZY;174.17;G;631
kwgq-desc;PRD-ITU;405.38;B;632
grsc-desc;PRD-XXB;450.74;T;633
wcsh-desc;PRD-XAB;1103.52;W;634
tkml-desc;PRD-DCR;961.86;J;635
arva-desc;PRD-JZZ;728.70;H;636
oimb-desc;PRD-KCN;550.96;Q;637
plan-desc;PRD-JHZ;801.38;L;638
jzpn-desc;PRD-LUT;524.80;W;639
izqt-desc;PRD-NQP;886.27;M;640
gfyy-desc;PRD-CBX;773.58;J;641
xuzt-desc;PRD-CQN;545.45;E;642
dsna-desc;PRD-DQP;580.43;L;643
iwtb-desc;PRD-LXM;310.20;W;644
fbao-desc;PRD-OPI;344.78;O;645
gtgp-desc;PRD-PPU;1070.56;L;646
qiis-desc;PRD-CLI;1070.31;S;647
ifya-desc;PRD-VCU;854.49;I;648
cius-desc;PRD-OSC;265.87;E;649
douz-desc;PRD-FKY;608.66;L;650
wkvh-desc;PRD-JIN;1112.09;J;651
cskw-desc;PRD-RHE;576.51;C;652
wkpd-desc;PRD-YLV;234.03;O;653
ehic-desc;PRD-AIH;735.50;B;654
jtsd-desc;PRD-LQI;956.26;C;655
ancd-desc;PRD-CDY;560.27;D;656
lqle-desc;PRD-UTR;410.61;B;657
syxu-desc;PRD-JAC;943.16;N;658
ungx-desc;PRD-MJX;613.95;T;659
bfgx-desc;PRD-RQS;264.95;L;660
dudu-desc;PRD-LUM;574.55;W;661
bdbc-desc;PRD-LOS;469.29;Y;662
katr-desc;PRD-XPS;447.57;Q;663
gpoj-desc;PRD-UOM;172.52;G;664
iwbm-desc;PRD-ONB;715.29;X;665
qkrg-desc;PRD-RYY;719.92;M;666
nbts-desc;PRD-TJR;673.72;Q;667
bbcp-desc;PRD-BQG;1079.39;C;668
hozw-desc;PRD-IHI;167.11;A;669
duru-desc;PRD-BZG;209.35;F;670
fbhh-desc;PRD-FJY;416.05;X;671
imtt-desc;PRD-YCI;229.64;E;672
dhbs-desc;PRD-WSE;966.17;W;673
kxyu-desc;PRD-QLV;308.92;R;674
gvym-desc;PRD-DVU;665.39;S;675
nrer-desc;PRD-PST;621.22;R;676
host-desc;PRD-WVO;221.75;Z;677
vybh-desc;PRD-XTU;245.90;D;678
zuxf-desc;PRD-BUI;255.82;O;679
rmao-desc;PRD-EWU;231.39;H;680
draj-desc;PRD-YQW;934.82;H;681
adkn-desc;PRD-MIS;724.30;S;682
ipko-desc;PRD-YHR;747.11;R;683
tzaf-desc;PRD-GZF;604.10;F;684
dyhw-desc;PRD-EFO;869.95;T;685
uxss-desc;PRD-EWS;251.40;A;686
vzlu-desc;PRD-NIK;917.83;S;687
pzjm-desc;PRD-XDI;219.61;S;688
hriv-desc;PRD-UVG;790.69;W;689
kmsb-desc;PRD-BCX;746.92;P;690
qopi-desc;PRD-WBV;417.81;Z;691
hivy-desc;PRD-AFV;325.10;R;692
okiw-desc;PRD-ZVA;603.68;A;693
avce-desc;PRD-GRB;286.18;T;694
wbxd-desc;PRD-ELG;1005.04;G;695
gmix-desc;PRD-OWJ;445.53;V;696
cxpg-desc;PRD-PTZ;723.82;A;697
ybkq-desc;PRD-VCM;884.30;N;698
btkk-desc;PRD-XKZ;698.76;E;699
vlci-desc;PRD-PJM;614.94;V;700
fqol-desc;PRD-WBD;270.13;C;701
tvfg-desc;PRD-KRU;1065.30;X;702
nbnc-desc;PRD-CGS;1119.60;G;703
rpak-desc;PRD-FEL;471.06;M;704
excx-desc;PRD-LGM;531.42;Q;705
rgiv-desc;PRD-BTY;578.22;I;706
owzt-desc;PRD-GPX;256.72;R;707
lzlk-desc;PRD-HPM;739.91;Q;708
kfcn-desc;PRD-ZGO;501.13;F;709
wplc-desc;PRD-WRE;1021.86;X;710
aplx-desc;PRD-TRA;903.47;R;711
beoi-desc;PRD-MZY;302.00;Z;712
sscc-desc;PRD-NRW;172.23;C;713
tdef-desc;PRD-ZXJ;320.08;V;714
rrli-desc;PRD-GHE;1034.86;X;715
vbgt-desc;PRD-QLM;978.21;P;716
cqzr-desc;PRD-GME;706.03;Q;717
yvjm-desc;PRD-ZEE;952.00;B;718
lqnx-desc;PRD-XVN;463.83;T;719
oqrs-desc;PRD-LPT;400.68;Q;720
oefg-desc;PRD-RIW;542.73;T;721
bmvu-desc;PRD-LRA;584.19;U;722
unrp-desc;PRD-QWF;208.05;U;723
huwu-desc;PRD-TEQ;843.28;C;724
xkgh-desc;PRD-AXW;1007.08;N;725
abex-desc;PRD-VWK;276.54;P;726
cxtb-desc;PRD-JLF;1124.78;I;727
laoh-desc;PRD-JVA;675.66;T;728
nryw-desc;PRD-UFC;978.90;M;729
fvob-desc;PRD-DUX;739.18;S;730
ziai-desc;PRD-SBZ;528.78;Z;731
qfsg-desc;PRD-JJV;176.85;H;732
hjdy-desc;PRD-RDJ;746.17;A;733
cgia-desc;PRD-GSN;204.62;H;734
kusw-desc;PRD-XIE;696.58;H;735
utsh-desc;PRD-RLO;796.28;I;736
tidj-desc;PRD-TVN;237.61;C;737
fobb-desc;PRD-UEV;347.60;K;738
mloo-desc;PRD-JUV;380.15;A;739
hiur-desc;PRD-BNS;584.35;Y;740
rjfl-desc;PRD-PME;441.76;U;741
hizc-desc;PRD-AWZ;334.37;T;742
urvj-desc;PRD-SQR;704.06;R;743
buvb-desc;PRD-NXX;429.54;Z;744
cvfv-desc;PRD-OJS;961.41;R;745
ytjn-desc;PRD-CTL;513.97;M;746
dpxc-desc;PRD-GVJ;1102.44;J;747
rlhf-desc;PRD-YKX;935.25;D;748
dzny-desc;PRD-MWK;325.03;R;749
txss-desc;PRD-ASB;475.84;H;750
wfrx-desc;PRD-FHC;265.40;P;751
aroc-desc;PRD-OMG;247.20;H;752
rwtm-desc;PRD-BZR;880.73;L;753
alkp-desc;PRD-EKI;191.37;A;754
qvxz-desc;PRD-RGE;409.53;O;755
ytwe-desc;PRD-FWL;901.15;R;756
fxol-desc;PRD-DQL;834.10;T;757
qigo-desc;PRD-SUC;731.31;B;758
ghwk-desc;PRD-GGU;562.78;W;759
dqum-desc;PRD-DGG;800.41;R;760
jqtz-desc;PRD-NTY;257.30;C;761
rojz-desc;PRD-FHW;606.73;Y;762
ubck-desc;PRD-FPP;961.61;T;763
gqst-desc;PRD-ZNP;754.13;X;764
oimj-desc;PRD-SMB;695.18;C;765
qdap-desc;PRD-JWP;1118.08;H;766
ptao-desc;PRD-QPA;1096.31;P;767
hejh-desc;PRD-ZZQ;609.96;D;768
sjvt-desc;PRD-POL;322.81;Y;769
qtws-desc;PRD-UUR;215.00;H;770
libb-desc;PRD-INT;410.67;V;771
atol-desc;PRD-LFS;898.10;H;772
yvko-desc;PRD-KNR;469.65;N;773
noky-desc;PRD-FYO;269.09;C;774
mjuw-desc;PRD-ZUH;162.61;R;775
dhji-desc;PRD-ZFM;1069.40;N;776
fdjp-desc;PRD-SBG;716.63;F;777
rttq-desc;PRD-CCV;842.37;X;778
bpbc-desc;PRD-HKZ;485.06;W;779
hhqr-desc;PRD-GGX;855.73;D;780
qvns-desc;PRD-RWL;695.89;N;781
okhl-desc;PRD-HWE;996.23;R;782
suhc-desc;PRD-EFS;249.51;D;783
yfbe-desc;PRD-LLB;1008.99;S;784
vbwm-desc;PRD-XYE;176.47;T;785
frkz-desc;PRD-IFB;928.62;I;786
uftu-desc;PRD-AYF;929.63;P;787
acol-desc;PRD-SXX;683.71;S;788
tflh-desc;PRD-TMJ;1004.85;W;789
dsnb-desc;PRD-CUA;751.82;E;790
flbm-desc;PRD-KDG;288.17;O;791
qyaf-desc;PRD-GNW;1017.92;G;792
ayiw-desc;PRD-NEA;986.02;G;793
khzt-desc;PRD-LCO;1028.84;L;794
kdou-desc;PRD-IRA;367.72;Y;795
qdbu-desc;PRD-ENS;1038.95;N;796
zubn-desc;PRD-PGG;838.14;F;797
wuru-desc;PRD-UIM;273.11;I;798
rihl-desc;PRD-PZB;954.14;H;799
yhbs-desc;PRD-YWI;872.59;F;800
cytj-desc;PRD-MEO;933.38;O;801
bkem-desc;PRD-ZPL;984.68;J;802
ohxt-desc;PRD-XML;401.61;C;803
jicv-desc;PRD-JJS;368.37;R;804
avsf-desc;PRD-TJI;647.73;W;805
jzhe-desc;PRD-RRL;945.23;V;806
pkqk-desc;PRD-XXI;458.69;C;807
lnxs-desc;PRD-BVZ;668.59;F;808
rrdx-desc;PRD-YZF;784.10;C;809
ssdv-desc;PRD-PHM;425.16;C;810
uwdp-desc;PRD-DVX;517.61;V;811
qoig-desc;PRD-NEV;944.89;L;812
ytmr-desc;PRD-YED;705.97;R;813
fraw-desc;PRD-OXT;667.53;B;814
gfed-desc;PRD-OFA;521.86;H;815
qwlb-desc;PRD-SEG;503.94;C;816
xblh-desc;PRD-CRE;522.97;H;817
qsyk-desc;PRD-ESC;507.37;X;818
dvzf-desc;PRD-JLZ;612.40;Z;819
mzvo-desc;PRD-DOX;722.40;B;820
hpwh-desc;PRD-WSX;905.00;U;821
jnek-desc;PRD-UXZ;258.60;P;822
chdg-desc;PRD-BSP;468.57;P;823
fgrj-desc;PRD-BAV;811.42;N;824
qhmt-desc;PRD-NUX;868.26;R;825
kqiz-desc;PRD-JVT;1057.12;O;826
ffyc-desc;PRD-CKM;206.82;B;827
kciy-desc;PRD-ABX;232.30;J;828
ogoj-desc;PRD-VKS;174.32;Y;829
yopg-desc;PRD-IVP;685.07;J;830
kjqu-desc;PRD-NJX;639.33;P;831
jfdp-desc;PRD-MGU;687.40;G;832
hmpm-desc;PRD-HRS;812.39;T;833
xzdv-desc;PRD-DJQ;519.66;K;834
sjwa-desc;PRD-YXK;663.75;W;835
dsnw-desc;PRD-GXY;994.15;U;836
owfw-desc;PRD-ODZ;395.56;Z;837
aqyt-desc;PRD-AHG;649.34;R;838
pxiv-desc;PRD-TAJ;556.81;X;839
ywnb-desc;PRD-YED;815.13;M;840
appn-desc;PRD-EQR;192.97;C;841
wtcb-desc;PRD-QNZ;380.70;C;842
ohok-desc;PRD-MGW;976.27;U;843
xand-desc;PRD-DWM;163.38;L;844
mqit-desc;PRD-NKB;943.23;N;845
uctw-desc;PRD-WLH;321.44;O;846
uwuv-desc;PRD-UGK;539.70;W;847
hezx-desc;PRD-MUK;829.85;L;848
xdke-desc;PRD-QPA;548.00;G;849
kyhz-desc;PRD-BFE;967.92;L;850
wnng-desc;PRD-HVF;942.64;M;851
xmqb-desc;PRD-BGN;388.32;G;852
bqee-desc;PRD-DQW;230.43;Z;853
zqmk-desc;PRD-HJE;250.17;Y;854
slji-desc;PRD-XLP;705.42;J;855
jdfp-desc;PRD-RQP;223.60;A;856
hqpv-desc;PRD-OKU;759.36;Y;857
jmqi-desc;PRD-AXC;792.98;R;858
ijnx-desc;PRD-CZC;794.47;L;859
egef-desc;PRD-ROJ;1099.64;P;860
pejs-desc;PRD-PIS;888.45;O;861
hcpf-desc;PRD-KER;738.57;H;862
pter-desc;PRD-JTB;552.86;W;863
wmfi-desc;PRD-CBM;1137.25;H;864
mjdl-desc;PRD-QKN;238.17;N;865
ypit-desc;PRD-AMB;844.34;Z;866
tlal-desc;PRD-GLQ;594.44;G;867
vzct-desc;PRD-VVU;704.42;E;868
parg-desc;PRD-LJZ;459.05;T;869
less-desc;PRD-QYD;219.07;P;870
umxf-desc;PRD-ZFI;566.70;C;871
uzgj-desc;PRD-VEW;637.50;O;872
wslh-desc;PRD-TJL;656.29;U;873
nyyq-desc;PRD-LZW;490.93;Q;874
dmbm-desc;PRD-JZQ;970.10;G;875
ivfp-desc;PRD-RVU;407.92;Q;876
kmfv-desc;PRD-GVG;728.48;O;877
irwt-desc;PRD-TWZ;413.29;E;878
rlqb-desc;PRD-EVH;534.72;M;879
xtvn-desc;PRD-YMX;326.37;P;880
lqyz-desc;PRD-VGJ;477.55;G;881
uhpl-desc;PRD-RTP;906.90;U;882
vndz-desc;PRD-BEW;1000.00;V;883
dpoe-desc;PRD-VDO;635.36;A;884
njvn-desc;PRD-CYV;1082.02;E;885
wrek-desc;PRD-MGH;311.77;N;886
rorq-desc;PRD-KRW;519.39;Q;887
fslx-desc;PRD-TKX;381.06;O;888
dbtw-desc;PRD-VJW;756.95;G;889
uugu-desc;PRD-OLG;1004.90;Y;890
leyy-desc;PRD-FGJ;449.68;H;891
xkvh-desc;PRD-JCI;263.22;R;892
zhdo-desc;PRD-YHU;622.48;K;893
hjap-desc;PRD-ARP;309.38;G;894
hzlp-desc;PRD-XYX;287.04;N;895
mztt-desc;PRD-FBZ;1089.64;M;896
arml-desc;PRD-LYF;514.38;C;897
yoqv-desc;PRD-PTU;200.69;F;898
dxzk-desc;PRD-OCG;577.31;F;899
zbkg-desc;PRD-YTP;178.33;P;900
oqxv-desc;PRD-ERQ;512.24;J;901
jxiq-desc;PRD-SWA;418.07;T;902
rtwr-desc;PRD-YUE;458.45;I;903
jick-desc;PRD-SKA;171.33;E;904
mibe-desc;PRD-JIV;875.45;U;905
kxul-desc;PRD-TIW;522.27;Y;906
blkn-desc;PRD-KAX;285.88;A;907
qnnj-desc;PRD-ONS;566.96;X;908
gavz-desc;PRD-DVH;401.83;P;909
soqe-desc;PRD-DLN;1088.43;A;910
iwbh-desc;PRD-HIT;735.24;T;911
jzyv-desc;PRD-WMG;885.27;Q;912
uqpl-desc;PRD-BWR;702.42;N;913
opqc-desc;PRD-IAW;394.81;V;914
zqdi-desc;PRD-QJC;943.71;S;915
kxus-desc;PRD-WTH;477.64;Q;916
upfd-desc;PRD-BLC;313.05;S;917
tyjc-desc;PRD-KOS;1038.41;O;918
sxga-desc;PRD-KIW;668.83;S;919
brwu-desc;PRD-RAM;469.91;E;920
ccwh-desc;PRD-HED;539.40;K;921
ljgb-desc;PRD-JUK;839.97;S;922
wdez-desc;PRD-JBX;967.41;E;923
ozvx-desc;PRD-RTC;513.86;Q;924
oquz-desc;PRD-ADQ;234.36;I;925
vsnk-desc;PRD-CLS;705.65;U;926
qwgv-desc;PRD-IFU;785.86;Q;927
gdkj-desc;PRD-WMK;911.98;B;928
fjlf-desc;PRD-TSW;972.77;H;929
oyxf-desc;PRD-MSY;834.12;H;930
hcqh-desc;PRD-WGA;177.20;I;931
qbrp-desc;PRD-QJN;181.48;L;932
umed-desc;PRD-QHS;273.37;X;933
hfvq-desc;PRD-WGA;518.16;S;934
ijgu-desc;PRD-GNS;292.12;E;935
uodg-desc;PRD-DOZ;510.20;K;936
utzx-desc;PRD-RBM;334.89;B;937
hlhy-desc;PRD-LBL;795.20;C;938
oafc-desc;PRD-GRU;611.82;Y;939
xcuk-desc;PRD-SWO;300.83;S;940
zyir-desc;PRD-FOX;443.54;Y;941
tyup-desc;PRD-YNR;635.33;C;942
ruos-desc;PRD-MHL;692.13;V;943
lvzx-desc;PRD-QZC;1065.60;W;944
brpo-desc;PRD-LRL;971.40;X;945
uqfg-desc;PRD-DLY;168.22;E;946
fbgd-desc;PRD-ULK;1055.16;F;947
ucqd-desc;PRD-YLL;513.68;K;948
weip-desc;PRD-XYB;527.78;J;949
vozp-desc;PRD-EMO;361.02;X;950
qkrc-desc;PRD-FKU;323.98;H;951
etao-desc;PRD-AQH;985.32;R;952
bwlb-desc;PRD-IRS;490.67;M;953
qgwv-desc;PRD-HLT;550.85;I;954
aaot-desc;PRD-VJI;807.27;G;955
nrbu-desc;PRD-OFT;1095.47;E;956
xstg-desc;PRD-ZYF;318.60;Y;957
ynlk-desc;PRD-FZW;1012.91;R;958
muid-desc;PRD-PLI;813.99;S;959
emkw-desc;PRD-CWJ;319.48;L;960
tlvt-desc;PRD-RKW;1120.55;O;961
aywi-desc;PRD-OTC;487.68;L;962
hnte-desc;PRD-AKW;441.26;I;963
xaii-desc;PRD-QFT;932.74;Z;964
zecf-desc;PRD-ABX;172.01;O;965
zmzs-desc;PRD-KSD;826.54;H;966
ghgk-desc;PRD-NOS;881.35;C;967
zjgi-desc;PRD-CGV;780.98;S;968
kchs-desc;PRD-FAD;775.93;S;969
tfkc-desc;PRD-WRI;846.51;S;970
egpi-desc;PRD-HLW;739.71;B;971
gycj-desc;PRD-NJD;987.96;I;972
bvfd-desc;PRD-QDB;301.46;K;973
ahbr-desc;PRD-ECH;766.92;T;974
mapt-desc;PRD-FPV;920.07;H;975
ryny-desc;PRD-DTS;934.77;Y;976
tkfn-desc;PRD-KIM;186.73;T;977
hfur-desc;PRD-QPX;344.01;K;978
kzjw-desc;PRD-MVY;726.72;N;979
ooml-desc;PRD-JKL;353.89;H;980
fwbl-desc;PRD-UEN;178.08;E;981
ixyd-desc;PRD-MEO;343.89;G;982
fvxt-desc;PRD-MHW;960.58;R;983
kseb-desc;PRD-ZZK;170.94;S;984
jqro-desc;PRD-ELU;1094.02;N;985
jttd-desc;PRD-SEV;299.88;O;986
elqf-desc;PRD-VCS;942.60;G;987
qfsl-desc;PRD-YEC;798.70;H;988
hlso-desc;PRD-TUL;950.51;S;989
ixdi-desc;PRD-CFS;587.29;T;990
oqdr-desc;PRD-CNM;586.53;W;991
tdrb-desc;PRD-PQH;940.10;Y;992
brgu-desc;PRD-IXB;363.22;X;993
tetk-desc;PRD-FKN;716.75;H;994
albg-desc;PRD-EFV;863.09;Z;995
iwao-desc;PRD-JZB;591.06;G;996
vdsg-desc;PRD-WSS;752.41;M;997
gjee-desc;PRD-OGP;396.66;O;998
slnp-desc;PRD-JEC;248.07;A;999
qnfy-desc;PRD-ICU;848.78;U;1000
